player,age,team,war,ab,r,h,double,triple,hr,rbi,sb,bb,k,tb,hbp,sf
Aaron Judge,32,NYY,10.8,559,122,180,36,1,58,144,10,133,171,392,9,2
Bobby Witt Jr,24,KCR,9.4,636,125,211,45,11,32,109,31,57,106,374,8,8
Shohei Ohtani,29,LAD,9.2,636,134,197,38,7,54,130,59,81,162,411,6,5
Gunnar Henderson,23,BAL,9.1,630,118,177,31,7,37,92,21,78,159,333,7,4
Jarren Duran,27,BOS,8.7,671,111,191,48,14,21,75,34,54,160,330,6,3
Juan Soto,25,NYY,7.9,576,128,166,31,4,41,109,7,129,119,328,4,4
Matt Chapman,31,SFG,7.1,575,98,142,39,2,27,78,15,64,158,266,6,2
Francisco Lindor,30,NYM,6.9,618,107,169,39,1,33,91,29,56,127,309,12,3
Jose Ramirez,31,CLE,6.8,620,114,173,39,2,39,118,41,54,82,333,1,6
Ketel Marte,30,ARI,6.8,504,93,147,23,2,36,95,7,65,106,282,5,9
Vladimir Guerrero Jr,25,TOR,6.2,616,98,199,44,1,30,103,2,72,96,335,5,4
Brent Rooker,29,OAK,5.6,546,82,160,26,2,39,112,11,59,177,307,5,4
Riley Greene,23,DET,5.4,512,82,134,27,6,24,74,4,64,156,245,5,2
Yordan Alvarez,27,HOU,5.4,552,88,170,34,2,35,86,6,69,95,313,10,4
Elly De La Cruz,22,CIN,5.2,618,105,160,36,10,25,76,67,69,218,291,6,1
Zach Neto,23,LAA,5.1,542,70,135,34,1,23,77,30,39,140,240,16,1
Corey Seager,30,TEX,5,475,68,132,21,0,30,74,1,53,96,243,3,2
Daulton Varsho,27,TOR,5,459,73,98,21,7,18,58,10,48,137,187,4,1
Masyn Winn,22,STL,4.9,587,85,157,32,5,15,57,11,41,109,244,1,5
William Contreras,26,MIL,4.9,595,99,167,37,2,23,92,9,78,139,277,3,3
Bryce Harper,31,PHI,4.8,550,85,157,42,0,30,87,7,76,138,289,2,2
Mookie Betts,31,LAD,4.8,450,75,130,24,5,19,75,16,61,57,221,1,4
Cal Raleigh,27,SEA,4.7,546,73,120,16,0,34,100,6,70,176,238,6,6
Kyle Tucker,27,HOU,4.7,277,56,80,13,0,23,49,11,56,54,162,1,2
Freddie Freeman,34,LAD,4.7,542,81,153,35,2,22,89,9,78,100,258,10,8
