player,age,team,war,w,l,sv,ip,ha,er,bba,so,hbp
Tarik Skubal,27,DET,6.4,18,4,0,192,142,51,35,228,9
Chris Sale,35,ATL,6.2,18,3,0,177.2,141,47,39,225,8
Hunter Greene,24,CIN,6.2,9,5,0,150.1,96,46,57,169,19
Zack Wheeler,34,PHI,6.1,16,7,0,200,139,57,52,224,8
Paul Skenes,22,PIT,5.9,11,3,0,133,94,29,32,170,6
Erick Fedde,31,2TM,5.6,9,9,0,177.1,154,65,52,154,5
Seth Lugo,34,KCR,5.4,16,9,0,206.2,177,69,48,181,9
Reynaldo Lopez,30,ATL,5.1,8,5,0,135.2,108,30,42,148,2
Cole Ragans,26,KCR,5,11,9,0,186.1,146,65,67,223,6
Emmanuel Clase,26,CLE,4.4,4,2,47,74.1,39,5,10,66,2
Ronel Blanco,30,HOU,4.4,13,6,0,167.1,114,52,68,166,2
Framber Valdez,30,HOU,4.4,15,7,0,176.1,140,57,55,169,6
Garrett Crochet,25,CHW,4.1,6,12,0,146,123,58,33,209,5
Dylan Cease,28,SDP,4.1,14,11,0,189.1,137,73,65,224,2
Michael King,29,SDP,4.1,13,9,0,173.2,144,57,63,201,7
Nick Martinez,33,CIN,4,10,7,0,142.1,128,49,18,116,5
Tanner Scott,29,2TM,4,9,6,22,72,45,14,36,84,1
Aaron Nola,31,PHI,3.7,14,8,0,199.1,189,79,50,197,3
Logan Webb,27,SFG,3.6,13,10,0,204.2,202,79,50,172,2
Tanner Houck,28,BOS,3.5,9,10,0,178.2,156,62,48,154,16
Max Fried,30,ATL,3.5,11,10,0,174.1,146,63,57,166,7
Corbin Burnes,29,BAL,3.5,15,9,0,194.1,165,63,48,181,2
Bryce Miller,25,SEA,3.4,12,8,0,180.1,131,59,45,171,3
Michael Wacha,32,KCR,3.4,13,8,0,166.2,154,62,45,145,5
Cristopher Sanchez,27,PHI,3.4,11,9,0,181.2,182,67,44,153,0
Kirby Yates,37,TEX,3.3,7,2,33,61.2,23,8,28,85,2
Andrew Abbott,25,CIN,3.3,10,10,0,138,127,57,52,114,2
Jack Flaherty,28,2TM,3.1,13,7,0,162,135,57,38,194,4
Brady Singer,27,KCR,3.1,9,13,0,179.2,175,74,54,170,10
Luis Ortiz,25,PIT,3.1,7,6,1,135.2,109,50,42,107,9
Tyler Holton,28,DET,3.1,7,2,8,94.1,57,23,17,77,4
Shota Imanaga,30,CHC,3,15,3,0,173.1,149,56,28,174,3
Luis Gil,26,NYY,3,15,7,0,151.2,104,59,77,171,8
Sean Manaea,32,NYM,3,12,6,0,181.2,134,70,63,184,9
Tyler Anderson,34,LAA,3,10,15,0,179.1,158,76,73,142,7
Ryan Helsley,29,STL,2.9,7,4,49,66.1,50,15,23,79,0
Bailey Ober,28,MIN,2.9,12,9,0,178.2,136,79,43,191,6
David Peterson,28,NYM,2.9,10,3,0,121,110,39,46,101,7
Raisel Iglesias,34,ATL,2.9,6,2,34,69.1,38,15,13,68,3
Logan Gilbert,27,SEA,2.8,9,12,0,208.2,148,75,37,220,4
Zack Littell,28,TBR,2.8,8,10,0,156.1,164,63,31,141,5
Griffin Jax,29,MIN,2.8,5,5,10,71,47,16,15,95,2
Ryan Walker,28,SFG,2.8,10,4,10,80,50,17,18,99,9
Tobias Myers,25,MIL,2.7,9,6,0,138,126,46,36,127,5
Spencer Schwellenbach,24,ATL,2.7,8,7,0,123.2,106,46,23,127,6
Tanner Bibee,25,CLE,2.7,12,8,0,173.2,150,67,44,187,8
Zach Eflin,30,2TM,2.7,10,9,0,165.1,166,66,24,134,3
Ranger Suarez,28,PHI,2.7,12,8,0,150.2,140,58,41,145,5
Michael Lorenzen,32,2TM,2.7,7,6,0,130.1,101,48,60,97,6
Zac Gallen,28,ARI,2.6,14,6,0,148,133,60,54,156,4
Hunter Gaddis,26,CLE,2.6,6,3,0,74.2,43,13,14,66,4
Hunter Brown,25,HOU,2.6,11,9,0,170,156,66,60,179,5
Jason Adam,32,2TM,2.6,7,2,4,73.2,40,16,23,81,6
Nestor Cortes,29,NYY,2.6,9,10,0,174.1,162,73,39,162,4
